measure,location,sex,age,cause,metric,val
Deaths,Republic of Rwanda,Male,10 - 54 years,Other infectious diseases,Number,357.0117606
Deaths,Republic of Rwanda,Female,10 - 54 years,Other infectious diseases,Number,243.0075576
Deaths,Republic of Rwanda,Male,10 - 54 years,Other infectious diseases,Percent,0.02349609
Deaths,Republic of Rwanda,Female,10 - 54 years,Other infectious diseases,Percent,0.021024919
Deaths,Republic of Rwanda,Male,10 - 54 years,Other infectious diseases,Rate,8.32389557
Deaths,Republic of Rwanda,Female,10 - 54 years,Other infectious diseases,Rate,5.375443494
Deaths,Republic of Rwanda,Male,55+ years,Other infectious diseases,Number,212.3921584
Deaths,Republic of Rwanda,Female,55+ years,Other infectious diseases,Number,233.1656286
Deaths,Republic of Rwanda,Male,55+ years,Other infectious diseases,Percent,0.008665008
Deaths,Republic of Rwanda,Female,55+ years,Other infectious diseases,Percent,0.009381196
Deaths,Republic of Rwanda,Male,55+ years,Other infectious diseases,Rate,47.54441274
Deaths,Republic of Rwanda,Female,55+ years,Other infectious diseases,Rate,38.17740977
Deaths,United Republic of Tanzania,Male,<5 years,Nutritional deficiencies,Number,1352.259627
Deaths,United Republic of Tanzania,Female,<5 years,Nutritional deficiencies,Number,1443.956002
Deaths,United Republic of Tanzania,Male,<5 years,Nutritional deficiencies,Percent,0.025711681
Deaths,United Republic of Tanzania,Female,<5 years,Nutritional deficiencies,Percent,0.031733183
Deaths,United Republic of Tanzania,Male,<5 years,Nutritional deficiencies,Rate,30.2998052
Deaths,United Republic of Tanzania,Female,<5 years,Nutritional deficiencies,Rate,32.94272495
Deaths,United Republic of Tanzania,Male,10 - 54 years,Nutritional deficiencies,Number,260.5827576
Deaths,United Republic of Tanzania,Female,10 - 54 years,Nutritional deficiencies,Number,233.5685906
Deaths,United Republic of Tanzania,Male,10 - 54 years,Nutritional deficiencies,Percent,0.00375898
Deaths,United Republic of Tanzania,Female,10 - 54 years,Nutritional deficiencies,Percent,0.004114574
Deaths,United Republic of Tanzania,Male,10 - 54 years,Nutritional deficiencies,Rate,1.459125107
Deaths,United Republic of Tanzania,Female,10 - 54 years,Nutritional deficiencies,Rate,1.200664256
Deaths,United Republic of Tanzania,Male,55+ years,Nutritional deficiencies,Number,463.9642979
Deaths,United Republic of Tanzania,Female,55+ years,Nutritional deficiencies,Number,530.5979978
Deaths,United Republic of Tanzania,Male,55+ years,Nutritional deficiencies,Percent,0.004033523
Deaths,United Republic of Tanzania,Female,55+ years,Nutritional deficiencies,Percent,0.005647724
Deaths,United Republic of Tanzania,Male,55+ years,Nutritional deficiencies,Rate,23.20211156
Deaths,United Republic of Tanzania,Female,55+ years,Nutritional deficiencies,Rate,24.99852546
Deaths,United Republic of Tanzania,Male,<5 years,Protein-energy malnutrition,Number,1347.325866
Deaths,United Republic of Tanzania,Female,<5 years,Protein-energy malnutrition,Number,1436.105026
